Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2017-09-11,Tommy,1975,https://boxd.it/jYXH5,3,,,2017-09-10
2017-09-12,12 Angry Men,1957,https://boxd.it/k0K4D,5,,,2017-09-11
2017-09-12,Stop Making Sense,1984,https://boxd.it/k159z,4.5,,,2017-09-11
2017-09-16,Baby Driver,2017,https://boxd.it/k6ZIv,4,,,2017-09-15
2017-09-21,The 400 Blows,1959,https://boxd.it/kevnX,5,,,2017-09-20
2017-09-24,The Grand Budapest Hotel,2014,https://boxd.it/kiK9p,5,Yes,,2017-09-23
2017-09-24,Kingsman: The Secret Service,2014,https://boxd.it/kj6Yz,3.5,,,2017-09-23
2017-10-05,Creature from the Black Lagoon,1954,https://boxd.it/kA7CN,3,,,2017-10-04
2017-10-05,2036: Nexus Dawn,2017,https://boxd.it/kAdKN,3,,,2017-10-04
2017-10-05,2048: Nowhere to Run,2017,https://boxd.it/kAdLh,3,,,2017-10-04
2017-10-05,Blade Runner: Black Out 2022,2017,https://boxd.it/kAdLV,3.5,,,2017-10-04
2017-10-06,Blade Runner,1982,https://boxd.it/kC8fz,4.5,Yes,,2017-10-05
2017-10-07,Cronos,1993,https://boxd.it/kEk93,3.5,,,2017-10-07
2017-10-08,The Thing,1982,https://boxd.it/kEvaL,5,,,2017-10-07
2017-10-09,Blade Runner 2049,2017,https://boxd.it/kGIrf,4.5,,w/ dad,2017-10-08
2017-10-11,Sideways,2004,https://boxd.it/kK8bD,4.5,,,2017-10-10
2017-10-14,Friday the 13th,1980,https://boxd.it/kP4z7,2.5,,,2017-10-13
2017-10-17,Vertigo,1958,https://boxd.it/kTJ93,5,,,2017-10-16
2017-10-17,The Seventh Seal,1957,https://boxd.it/kU843,5,,,2017-10-16
2017-10-29,Alien,1979,https://boxd.it/lbUFP,5,Yes,,2017-10-24
2017-10-30,Thor: Ragnarok,2017,https://boxd.it/ldwDJ,4,,,2017-10-29
2017-11-01,Re-Animator,1985,https://boxd.it/lgIXx,4,,,2017-10-31
2017-11-01,Halloween,1978,https://boxd.it/lgVRn,4.5,Yes,,2017-10-31
2017-11-02,Of Mice and Men,1992,https://boxd.it/lilrR,2.5,,,2017-11-01
2017-11-15,There Will Be Blood,2007,https://boxd.it/lCKWP,4.5,,,2017-11-14
2017-11-16,Withnail & I,1987,https://boxd.it/lEaUR,4.5,,,2017-11-15
2017-11-20,Justice League,2017,https://boxd.it/lLvB1,2,,,2017-11-19
2017-12-03,Rapsittie Street Kids: Believe in Santa,2002,https://boxd.it/m6FNN,0.5,,,2017-12-02
2017-12-08,Man on the Moon,1999,https://boxd.it/mfuWd,4,,,2017-12-07
